,PLAN,YEAR,CF_ASSET,CF_LIAB,CF_CUM_ASSET,CF_CUM_LIAB,COUPON,PRINCIPAL,GAP,CF_CUM
188,u110,2027,13694158.049999999,20321910.863853,498353367.0,486808181.42537796,8194158.05,5500000.0,-6627752.813853001,11545185.574622035
189,u110,2028,40636563.050000004,31594744.726747997,538989930.05,518402926.15212595,8036563.05,32600000.0,9041818.323252007,20587003.897873998
190,u110,2029,42133063.050000004,33995543.832577,581122993.0999999,552398469.984703,6728063.05,35405000.0,8137519.217423007,28724523.11529696
191,u110,2030,22244653.05,30631077.338173,603367646.1499999,583029547.322876,4979653.05,17265000.0,-8386424.2881729975,20338098.82712388
192,u110,2031,27416055.55,27475368.571761,630783701.6999998,610504915.894637,4716055.55,22700000.0,-59313.02176100016,20278785.80536282
193,u110,2032,29555035.55,21512809.515077,660338737.2499998,632017725.409714,4455035.55,25100000.0,8042226.034923002,28321011.840285778
194,u110,2033,12344085.549999999,17976919.179533,672682822.7999997,649994644.589247,3184085.5500000003,9160000.0,-5632833.629533002,22688178.210752726
195,u110,2034,20674625.55,17205389.574646,693357448.3499997,667200034.163893,2974625.5500000003,17700000.0,3469235.975354001,26157414.18610668
196,u110,2035,13551742.549999999,14522874.524407,706909190.8999996,681722908.6883,2768225.5500000003,10783517.0,-971131.9744070005,25186282.211699605
197,u110,2036,7229049.7,12194917.282354,714138240.5999997,693917825.970654,2229049.7,5000000.0,-4965867.582353999,20220414.629345655
198,u110,2037,2022549.7,11828775.274942,716160790.2999997,705746601.245596,2022549.7,0.0,-9806225.574942,10414189.054403663
199,u110,2038,10288393.7,9875101.986449301,726449183.9999998,715621703.2320454,2022549.7,8265844.0,413291.713550698,10827480.76795435
200,u110,2039,1609257.5,9198341.726194201,728058441.4999998,724820044.9582396,1609257.5,0.0,-7589084.226194201,3238396.541760206
201,u110,2040,15109257.5,7659324.695156099,743167698.9999998,732479369.6533957,1609257.5,13500000.0,7449932.804843901,10688329.346604109
202,u110,2041,21290757.5,6652612.8947699,764458456.4999998,739131982.5481656,1290757.5,20000000.0,14638144.6052301,25326473.9518342
203,u110,2042,350757.5,5855517.7406402,764809213.9999998,744987500.2888057,350757.5,0.0,-5504760.2406402,19821713.71119404
204,u110,2043,350757.5,4866751.006991699,765159971.4999998,749854251.2957975,350757.5,0.0,-4515993.506991699,15305720.204202294
205,u110,2044,2355757.5,3590630.2360308,767515728.9999998,753444881.5318283,350757.5,2005000.0,-1234872.7360307998,14070847.468171477
206,u110,2045,1047500.0,3539367.3795669,768563228.9999998,756984248.9113952,247500.0,800000.0,-2491867.3795669,11578980.08860457
207,u110,2046,7717500.0,2501649.6708776997,776280728.9999998,759485898.5822729,217500.0,7500000.0,5215850.3291223,16794830.417726874
208,u120,2021,4666412.05,1832237.3848020001,4666412.05,1832237.3848020001,2266412.05,2400000.0,2834174.6651979997,2834174.6651979997
209,u120,2022,6058762.05,2245418.1786642997,10725174.1,4077655.5634663,2158762.05,3900000.0,3813343.8713357,6647518.5365337
