,PLAN,ISIN,VALOR,CUPON,FEC_VTO,NOM,MATURITY,YRS_TO_MAT
0,u120,GEN_CORP_BOND_2044,Generic corporate bond with maturity 2044,5,2044,9349791,2044,24
1,u120,GEN_CORP_BOND_2047,Generic corporate bond with maturity 2047,5,2047,3091990,2047,27
0,u121,GEN_CORP_BOND_2022,Generic corporate bond with maturity 2022,5,2022,12427717,2022,2
0,u125,CASH,Maintain Cash allocation,5,2021,49921042,2021,1
1,u125,GEN_CORP_BOND_2027,Generic corporate bond with maturity 2027,5,2027,7364198,2027,7
2,u125,GEN_CORP_BOND_2031,Generic corporate bond with maturity 2031,5,2031,5990307,2031,11
3,u125,GEN_CORP_BOND_2038,Generic corporate bond with maturity 2038,5,2038,5911758,2038,18
4,u125,GEN_CORP_BOND_2034,Generic corporate bond with maturity 2034,5,2034,5624162,2034,14
0,u130,GEN_CORP_BOND_2026,Generic corporate bond with maturity 2026,5,2026,4221686,2026,6
1,u130,GEN_CORP_BOND_2027,Generic corporate bond with maturity 2027,5,2027,2915187,2027,7
2,u130,GEN_CORP_BOND_2034,Generic corporate bond with maturity 2034,5,2034,2280387,2034,14
3,u130,GEN_CORP_BOND_2036,Generic corporate bond with maturity 2036,5,2036,1863899,2036,16
4,u130,GEN_CORP_BOND_2033,Generic corporate bond with maturity 2033,5,2033,1826765,2033,13
