group,t_to,l_cflow_rp
u108,22,-180.79720032638
u108,23,-162.71080962923
u108,24,-146.03118912237
u108,25,-130.71874437792
u108,26,-116.80811805138
u108,27,-104.32848330243
u108,28,-93.211705171051
u108,29,-83.358974641054
u108,30,-74.734016144228
u108,31,-67.206666285867
u108,32,-60.639548185593
u108,33,-54.837065342113
u108,34,-49.617621209434
u108,35,-44.844555744946
u108,36,-40.410075549088
u108,37,-36.219964134959
u108,38,-32.217827692906
u108,39,-28.352577901809
u108,40,-24.648000667135
u108,41,-21.116508207083
u108,42,-17.893520802337
u108,43,-15.11162044329
u108,44,-12.681860883314
u108,45,-10.539640621087
u108,46,-8.6390764194276
u108,47,-6.9549421984809
u108,48,-5.4714433167427
u108,49,-4.2572826425938
u108,50,-3.28
u108,51,0
u108,52,0
u108,53,0
u108,54,0
u108,55,0
u108,56,0
u108,57,0
u108,58,0
u108,59,0
u108,60,0
u109,0,0
u109,1,-13661.5181866
u109,2,-15695.218468013
u109,3,-14782.239083429
u109,4,-13817.868646989
u109,5,-14506.696347616
u109,6,-14906.738436133
u109,7,-11886.519139125
u109,8,-11277.274274939
u109,9,-10767.181040532
u109,10,-10350.104591657
u109,11,-10212.690826395
u109,12,-8548.7521573674
u109,13,-9736.5519816483
u109,14,-8350.5711604549
u109,15,-8464.290702654
u109,16,-7487.7184860895
u109,17,-7778.9073640972
u109,18,-7152.3211789935
u109,19,-6630.1579937042
u109,20,-6487.2100383424
u109,21,-5708.805314509
u109,22,-4824.7411058993
u109,23,-3634.9250568027
u109,24,-2905.2021266957
u109,25,-2415.8020373605
u109,26,-3224.9221654481
u109,27,-1603.6006686074
u109,28,-2149.000881032
u109,29,-1138.3660127926
u109,30,-1047.9244636779
u109,31,-964.22106823532
u109,32,-718.01994449485
u109,33,-711.84110934552
u109,34,-364.50232122796
u109,35,-503.648031514
u109,36,-593.44122888887
u109,37,-409.65868348102
u109,38,-440.16153676474
u109,39,-97.054015369194
u109,40,-60.919995600221
u109,41,-173.04769361184
u109,42,-146.5962231305
u109,43,-160.87360602401
u109,44,-97.892696222934
u109,45,-331.46029355079
u109,46,-193.75165295936
u109,47,-98.858011133868
u109,48,-19.794269416414
u109,49,-433.23366416009
u109,50,-331.25031584252
u109,51,-7.1854430739974
u109,52,-94.046519137849
u109,53,0
u109,54,0
u109,55,0
u109,56,0
u109,57,0
u109,58,0
u109,59,0
u109,60,0
u110,0,0
u110,1,-42228.52258098
u110,2,-71270.426314291
u110,3,-96897.998453029
u110,4,-93636.272854956
u110,5,-91893.698346224
u110,6,-70559.352012045
u110,7,-20321.910863853
u110,8,-31594.744726748
u110,9,-33995.543832577
u110,10,-30631.077338173
u110,11,-27475.368571761
u110,12,-21512.809515077
u110,13,-17976.919179533
u110,14,-17205.389574646
u110,15,-14522.874524407
u110,16,-12194.917282354
u110,17,-11828.775274942
u110,18,-9875.1019864493
u110,19,-9198.3417261942
u110,20,-7659.3246951561
u110,21,-6652.6128947699
u110,22,-5855.5177406402
u110,23,-4866.7510069917
u110,24,-3590.6302360308
u110,25,-3539.3673795669
u110,26,-2501.6496708777
u110,27,-1977.435281261
u110,28,-1717.1934913725
u110,29,-1528.8437449456
u110,30,-896.05818957829
u110,31,-869.00837854827
u110,32,-588.05151931864
u110,33,-430.69480779735
u110,34,-291.0763581
u110,35,-191.3335062054
u110,36,0
u110,37,0
u110,38,0
u110,39,0
u110,40,0
u110,41,0
u110,42,0
u110,43,0
u110,44,0
u110,45,0
u110,46,0
u110,47,0
u110,48,0
u110,49,0
u110,50,0
u110,51,0
u110,52,0
u110,53,0
u110,54,0
u110,55,0
u110,56,0
u110,57,0
u110,58,0
u110,59,0
u110,60,0
u120,0,0
u120,1,-1832.237384802
u120,2,-2245.4181786643
u120,3,-4208.6203341118
u120,4,-4478.4455218916
u120,5,-3582.0698880041
u120,6,-3768.0678749588
u120,7,-926.5505374909
u120,8,-1935.8192656605
u120,9,-1712.0979820831
u120,10,-2170.7064587382
u120,11,-2357.9036501354
u120,12,-1541.1336771633
u120,13,-2177.1516578003
u120,14,-2267.6786912346
u120,15,-1920.8541622609
u120,16,-1578.5628134945
u120,17,-2174.9696641799
u120,18,-1879.2055497361
u120,19,-1899.4677495757
u120,20,-2589.5132498382
u120,21,-5203.4490340334
u120,22,-5554.746046447
u120,23,-8265.1689885382
u120,24,-9902.7232712
u120,25,-5617.4559191733
u120,26,-3776.929057339
u120,27,-3199.9908446944
u120,28,-2965.4179741303
u120,29,-1347.3768498236
u120,30,-811.23348699711
u120,31,-786.13149095209
u120,32,-347.5451355826
u120,33,-596.22911589657
u120,34,-386.04564264998
u120,35,-573.97570581745
u120,36,-396.43894953097
u120,37,-164.78227922386
u120,38,-137.77026439203
u120,39,-97.70785202393
u120,40,0
u120,41,0
u120,42,0
u120,43,0
u120,44,0
u120,45,0
u120,46,0
u120,47,0
u120,48,0
u120,49,0
u120,50,0
u120,51,0
u120,52,0
u120,53,0
u120,54,0
u120,55,0
u120,56,0
u120,57,0
u120,58,0
u120,59,0
u120,60,0
u121,0,0
u121,1,-16962.09014901
u121,2,-18953.311925065
u121,3,-18642.12922242
u121,4,-18371.603154245
u121,5,-16392.585374792
u121,6,-14684.419642487
u121,7,-12104.584977494
u121,8,-11277.923152164
u121,9,-11465.485892818
u121,10,-9732.4360694558
u121,11,-9828.2624870737
u121,12,-8983.3100629917
u121,13,-8187.0538389036
u121,14,-8203.5463882417
u121,15,-7475.1814997494
u121,16,-7163.2275224273
u121,17,-7131.5655228359
u121,18,-5650.8527834629
u121,19,-5653.7166100537
u121,20,-4569.3511074399
u121,21,-4011.6048383551
u121,22,-3881.4320443553
u121,23,-2772.5843024102
u121,24,-2783.5080822033
u121,25,-2403.9678041878
u121,26,-1827.3635954367
u121,27,-1739.1904394461
u121,28,-1131.5188455854
u121,29,-1164.6409922844
u121,30,-863.65375390902
u121,31,-803.75535197851
u121,32,-750.13606512618
u121,33,-665.72562690439
u121,34,-379.52428757168
u121,35,-516.63160999377
u121,36,-246.55042589973
u121,37,-261.32745550306
u121,38,-247.0737734608
u121,39,-174.1631416071
u121,40,-136.82086385124
u121,41,-104.42437151722
u121,42,-84.178366724611
